comment,sentiment,source
"No….many reasons. Its experimental, no liability for manufacturers, it's a vax for basically a flu variant, it's ineffective…..",negative,WHO
"Being vaccinated is the ONLY way to stop the virus from spreading, infecting more people which could lead to more illness and death.",positive,WHO
because it was proven effective and safe which is good enough for me! I don’t want to stay susceptible to a deadly virus.,positive,WHO
"I would recommend getting vaccinated. It protects not only you but also those who are close to you and the people you love. If you don’t want to get it for your own protection, get it for them.",positive,WHO
Because I actually care about other people. I am not a selfish prick or a gullible fool who believes every conspiracy or insane lie put out by people to control the masses.,positive,WHO
"“Belief” is the wrong verb. The verb you are looking for is “know.” I know that the vaccines being given in the USA (Pfizer, JJ, Moderna) are very safe indeed. And I know the risks of these vaccines are much, much less than the risks of disease.",positive,WHO
"Yes, the Covid-19 vaccine is safe and has been safely given to hundreds of millions of people around the world. A small handful of people have had blood clots after being vaccinated, but this is because they have a very rare medical condition, and most were successfully treated. To give you an idea of how rare the chances of blood clots are, you have a greater chance of dying in an aircraft crash or about the same chance of dying from handling fireworks.",positive,WHO
"Yes it’s safe. Perfect it is not, however there have been very very few adverse reactions with over 1.3 billion doses given so far, and there have been over three million Covid19 deaths, and most likely the Covid19 deaths have been somewhat underreported. Of course it is safe and it is the only sure way to get the Covid19 pandemic under control!",positive,WHO
"“Safe” in this context is not binary. I believe the COVID-19 vaccine will make me, and the people around me, much safer than not being vaccinated makes me and the people around me. That’s what counts.",positive,WHO
"The vaccines have gone through the various testing (if i remember correctly six) phases before being administered. At least 400 millions across the world have received the vaccines, if not more. Of course < 1 % have had issues - mild, severe and fatal. No vaccine, developed even decades ago, is 100 % effective and safe.",positive,WHO
"The current Western Covid vaccines are extremely safe. In addition to the overwhelming numerical statistics, I can tell you anecdotally that I received my second dose of the Pfizer vaccine a month ago tomorrow, and other than a slightly sore arm for a day or so, I have had NO OTHER SIDE EFFECTS. I have not had any fever, sweats, chills, aches, pains nausea or vertigo. No trouble breathing, no loss of smell or taste, no loss of appetite and I did not miss any days at the gym or any long walks. You be safe too and get vaccinated.",positive,WHO
"Absolutely not. Considering the only mRNA testing that’s been done was on ferrets, and all died. Some quickly and some later on. That’s why it was discontinued and didn’t go through the human trials. Why anyone would take this is beyond all comprehension. The media and government are pushing something that is a dangerous and unknown to the public behind what the fear mongering and pushing of this agenda is truly about.",negative,WHO
You would be safe even without taking the vaccine. This whole COVID-19 was a sham and just political. You have a better chance of dying from the common flu than you do from the Coronavirus.,negative,WHO
"Because so far, nearly 100 million doses of vaccine have been given and there has been only one death which might, possibly, have been due to a bad reaction to the vaccine. One in 100 million is a lot less than the risk of dying from, say, eating a toffee.",positive,WHO
"Yes. Properly tested on those valiant volunteers, and 95% effective, I’ll get the vaccine as soon as it’s available.",positive,WHO
"No - you simply can’t “trust” that the COVID-19 vaccine is safe.  I have had problems with vaccines before, from spending a few days in bed after flu shots to spending 4 months at home with a ‘kidney infection’ and paralysis after the polio vaccine in 1963. At least 10% of the polio vaccine was contaminated with SV40, a kidney virus.",negative,WHO
No - you simply can’t “trust” that the COVID-19 vaccine is safe. The short term data is revealing an alarming number and array of symptoms and deaths that are being dismissed as coincidental.,negative,WHO
"I am not an Anti-vaxxer. I believe that the vaccines available for almost all deceases are effective and safe, because they have been proven to be so for many years.",positive,WHO
"The experimental vaccinations were rushed and not even tested on animals. Therefore “vaccine is safe"" is an oxymoron at best. It sounds like propaganda from the Globalists who want to depopulate Earth and tightly control the remainder as slaves.",negative,WHO
No I don’t. It’s experimental and wasn’t put through the trials it was supposed to be. Don’t be a human Guinea pig.,negative,WHO
"No, my best bet who was healthy as a horse just got her second dose 4 days ago and she died yesterday!!!",negative,WHO
Yes. I got both doses of the Maderna vaccine and am fully vaccinated. I encourage everyone to get vaccinated.,positive,WHO
"No, I don't believe it is safe. The push to get people to take an experimental drug with no history of being safe and effective is insanely stupid. It defies common sense and lacks any evidence of intelligence to fall for the scripted bullshit that's being played out. The vaccine is the pandemic not the virus. People are already dropping like flies.",negative,WHO
No. The people who got the shots a lot of them will probably die. When a corona virus come back around those people will get very sick and a lot will die.,negative,WHO
The animal tests they've done in the past killed the animals that had got the shots and then when exposed to corona virus naturally they got sick and died.,negative,WHO
Intelligent people are strive to protect from COVID-19 and get vaccines. Because vaccine can create a huge resistance for COVID-19 and reduce deaths.,positive,WHO
"Absolutely not. Considering the only mRNA testing that’s been done was on ferrets, and all died. Some quickly and some later on. ",negative,WHO
"Vaccine cannot be trusted for 100% safety, there is element of risk involved as any risk for life in the dangerious world with cases of accidents, severe diseases due to other causes, death due to tension, heart attack, cancer, of unknown cause or even human errors or manipulations.",negative,WHO
"No, since I do not get flu shots I will not get COVID-19 vaccination. Remarkably, I do not get sick and would like to keep that way!!",negative,WHO
"It is not some mysterious juice that Pharma companies want to inject in you, It has been thoroughly tested and approved by qualified people.",positive,WHO
No I am not convinced! My main concern is the findings and destruction of the Corona viruses. There is so little talk and research done about this aspect.,negative,WHO
"I say so far so good. The test went well, about 21,000 people got the Pfizer vaccine.",positive,WHO
"Not at all in such a corrupt evil world, NOT! Vaccines always contained malicious ingredients and ulterior motives! Must boycott al synthetic Rx and warn others! :",negative,WHO
"I will definitely trust a COVID-19 vaccine. And most likely will get one as soon as it is available here in Nepal. By the time it does become available here, most likely any delayed side effects will have begun to appear.",positive,WHO
Yes. No reason not to trust these vaccines. Companies performed the standard clinical process and released information throughout the programs.,positive,WHO
No. Not enough testing for me to feel safe. I have heart issues and keep reading about heart patients having heart attacks within the day or next day.,negative,WHO
"Yes it’s safe.  Side effects usually occur within the first few days of getting a vaccine. Since the first mass vaccination programme started in early December 2020, hundreds of millions of vaccine doses have been administered.",positive,WHO
"There have been concerns about COVID-19 vaccines making people sick with COVID-19. But none of the approved vaccines contains the live virus that causes COVID-19, which means that COVID-19 vaccines cannot make you sick with COVID-19.",positive,WHO
Yes totally convinced. at the end of the day it is just another flu virus we are fighting,positive,WHO
No vaccine is perfect. No COVID vaccine will be perfect.,negative,WHO
You cannot trust the Covid19 vaccine as the number of deaths from this vaccine are pretty significant. The number of people having severe symptoms from this vaccine are in quadruple digits.,negative,WHO
"I believe that the vaccine is far safer than the disease. The statistics on this are pretty clear. A bit more than 590,000 people in the US have died from COVID-19. A handful (way less than 100) have had allergic reactions to the vaccine, and have needed to be given an antihistamine after the shot to stop the allergic reaction. Would you rather take a large chance of being dead, or a small chance of needing to take an antihistamine? To me this is a pretty obvious choice.",positive,WHO
"No: I believe there is some risk in receiving a vaccine that has been rapidly developed, and tested. However I believe the risk of contracting Covid, and dying or getting permanent lung and or heart damage is much greater.",negative,WHO
"Yes, I am convinced that COVID vaccines are safe once they have been licensed.",positive,WHO
All the vaccines are safe. It equally depends on your existence medical conditions. Coming to the 3 vaccines available in India.,positive,WHO
"Yes. Because Polio vaccine is safe. Diphtheria vaccine is safe ( remember the Iditarod Alaska race?) MMR ( measles, mump, rubella ) vaccine is safe. Annual flu vaccine is safe. there are many safe vaccines proven over millions of not billions of doses and many years of use. Small pox vaccine is safe",positive,WHO
"I do believe in science. I believe in the scientists who have worked tirelessly, meticulously and methodically, from the design & developmental stage to clinical trials, to the regulatory reviews and distribution process. I have absolute faith in the cross fertilisation of scientific knowledge that became united globally, for this common goal.",positive,WHO
The vaccine is quite safe and highly recommended.,positive,WHO
I heard the vaccine can cause infertility,negative,Daily Mail
"Vaccinated people can still spread the virus, so it doesn’t make a difference to public health if I’m unvaccinated",negative,Daily Mail
"I can still get COVID-19 after getting vaccinated, so there’s no point in getting the shot",negative,Daily Mail
The vaccine hasn’t been around long enough for me to know it’s safe,negative,Daily Mail
"No vaccine is fully affective. It's a ""money making industry"". People are just playing with our health, our live and I think we should think instead of following blindly everything there are saying.",negative,Daily Mail
"It seems that idiots are trying to control this world we're not supposed to live on vaccines, especially vaccines that are more deadly than the virus",negative,Daily Mail
"My whole family (5) have just last week had our second. Everyone is feeling fine, actually feeling a sense of relief to be honest. We have vulnerable people with low immunity in our family and I am pleased to take a small stress away from them. vaccines are important.",positive,Daily Mail
"I got my both Pfizer doses last month and i am fine. No need to afraid of vaccine its only a immunity booster, overall its going to help your body to recover fast, i think you can't say that your immune system is best in the world.",positive,Daily Mail
I reject the vaccine for COVID in the name of Jesus cuz my god have already vaccinated me long time ago against all this sickness,negative,Daily Mail
I trust my immune system. No need to be vaccinated  ,negative,Daily Mail
So I’ve been double vaccinated and now I have covid and it’s knocking hell out of me ??,negative,Daily Mail
My mom passed on due to this vaccine.,negative,Daily Mail
If the vaccine is protecting us then we don't have to suffocate our brains wearing a mask and if a mask is protecting me I don't see the use of vaccine  ,negative,Daily Mail
Serious side effect are not very rare and are very serious. The risk from the jab far far outweigh the benefits. Not the other way round,negative,Daily Mail
"Am immune i don't need any vaccine. And you guys should consider billions of us who are immune, stop pushing your poisonous vaccine to every single person on this earth, there is no such a thing. That's science of the stupid and fraudsters, you can't vaccinate every single person on earth, you guys are devils.",negative,Daily Mail
"I'm sorry, what I need is nutritious food, fresh air not vaccines and masks  ",negative,Daily Mail
"Yeah, tell it to my eight friends in Saint-Petersburg. They’re all get sick after a vaccination. One of them got 40% lungs damage. I think it is time to WHO get dismissed.",negative,Daily Mail
Ooooh!! It's about to reduce rather than to eliminate...,positive,Daily Mail
"So glad I said no to the vaccine, I know people double jabbed and still poorly with Covid, I also know people that have regretted having the vaccine. ",negative,Daily Mail
So pleased I got my jabs. I caught covid and it just have me heavy cold symptoms and I'm already bouncing back after a few days. Thank you to all of the teams who worked on the vaccines,positive,Daily Mail
Had both of my jabs. Minor space feel for a day and slight achy joints but all ok and back to usual within 48 hours. Sandy had no side effects at all.,positive,Daily Mail
Wise people should stay away from these corona vaccines.,negative,Daily Mail
"I am getting my Pfizer on saturday ... i beleive in people who are dedicated all their life to science, biology and educated.",positive,Daily Mail
So why are the borders closing if this vaccine is supposed to work.This seems to be the big lie,negative,Daily Mail
Getting vaccinated against COVID 19 helps protect you and others from getting sick,positive,Daily Mail
"I had Pfizer, not one side effect. Each to their own but I for one agree with the vaccines being administered to go back to a semi normal - good health to you all  ",positive,Daily Mail
Getting vaccinated takes away the worry of becoming really sick have the vaccine,positive,Daily Mail
the virus flue vaccines stop you from getting a particular strain of the flue so is the coronavirus vaccine a real vaccine,positive,Daily Mail
We have just recovered from Covid and been quite poorly but luckily lasted only a week. If we had not have had the jabs I know it would have been a different story. How people can not want the jabs is beyond me! I know someone who hasn’t had the jabs and he’s so ill he’s just gone into hospital!,positive,Daily Mail
Both my husband and myself have been vaccinated and tested positive for covid and still suffering.,negative,Daily Mail
"I'm done taking my first and second dose of covid-19 vaccine, I didn't experience any symptoms",positive,Daily Mail
I heard most of the people who went for the vaccination were all infected with Corona virus,negative,Daily Mail
"I won't take any vaccine, ihv seen thousands elderly dying out there and being affected while I never saw any president or rich person being affected",negative,Daily Mail
Try giving at least 1 dose for all human for protection,positive,Daily Mail
"Yep, doesn’t stop you carrying the virus once fully vaccinated and therefore still able to transmit it to other people.",negative,Daily Mail
Really I don't understand why they get sick after vaccination what the point anyway,negative,Daily Mail
Not a hundred percent but it would prevent you from the severe symptoms just in case.,positive,Daily Mail
I've seen one who was vaccinated and has tested positive again.,negative,Daily Mail
"Fat lot of good it does, I've had both jabs and still got Covid, waste of bloody time.",negative,Daily Mail
Ready to be vaccinated but no drugs at hospitals so don't know were to go,positive,Daily Mail
If I have recovered without a vaccination why should I take one,negative,Daily Mail
this vaccine is very dangerous to health,negative,Daily Mail
I haven't heard of vaccine side effects resulting in hospitalization or trips to the ER,positive,Daily Mail
The risk of Covid and Covid complications is so much greater. Get the second dose and in 2 weeks you will have much more Protection. The rare chance Of an adverse reaction is so much less than Covid of life long problems from Covid. Get your 2nd dose.,positive,Daily Mail
Of thousands of vaccines administered I've had no patients admitted for reactions. They can happen but are very rare.,positive,Daily Mail
My son (12) had zero side effects from the second one. I was pretty shocked because he felt yuckie after the first. He’s really happy he got them both.,positive,Daily Mail
"Vaccinated people’s chances of ever getting covid are reduced, so they aren’t transmitting to the extent that the unvaccinated are.",positive,Daily Mail
"Double vaccinated people can still get covid and spread it, but because we are not likely to get it so badly it’s likely that we will have less viral load therefore spread it less.",positive,Daily Mail
"Fully vaccinated people are less likely (1/10th the risk or less) to get a detectable infection. No infection, no spreading!",positive,Daily Mail
"This is a recent research publication. If you are vaccinated you have a far lower likelihood of getting infected in the first place. If infected you will have a lower viral load, so less likely to pass it on. You will also be infectious for a shorter time.",positive,Daily Mail
This technology is amazing. These mRNA vaccines can be used to vaccinate for many viruses. This is truly a game changer,positive,NT
"Fully vaccinated people are still getting infected with Covid, though to a much lesser extent than unvaccinated people.",positive,NT
vaccination is to decrease a number of population is not safe for everybody,negative,NT
My unty after vaccine sleep 5 days on the bed and then died,negative,NT
Serious side effects is fatal,negative,NT
I got the first jab and now I feel I can fly and I am looking forward to the second jab,positive,NT
Been vaccinated fully since about April and still caught covid in July and was very sick  ,negative,NT
Serious side effects are very rare and vaccine save life,positive,NT
People are dying from the vaccines but no one reports those figures.,negative,NT
It was too much bad condition after vaccination,negative,NT
"""Getting vaccinated against COVID-19 helps protect you from getting sick."" Wrong, you still can get infected and spread the virus, be hospitalized and even die.",negative,NT
The underlining of the absence of serious side effects when there aren’t long-term studies of whether or not there are serious side effects is quite strange.,negative,NT
If this vaccine is so safe then why Govt. is not taking responsibility of those who suffer due to the complications of these vaccines,negative,NT
Oh I don't mind getting vaccinated......I just want to choose which one,positive,NT
I have taken the jab for the safety of everyone around me.,positive,NT
"But guys I don't understand, what's the use of vaccine if your still gonna be Infected n infect other like I don't get it please someone explain to me",negative,NT
I am vaccinated and am positive for Covid right now. So this statement is not true. You can still get sick after being vaccinated.,negative,NT
You can still get covid and pass it on even if you had the vaccine people need to think long and hard before they make a choice to have the vaccine,negative,NT
Who takes responsibility for people who died after taking that “vaccine” ?,negative,NT
I know someone who was fully vaccinated that died from Covid a week ago!! You can still get it and die!! I had the vaccine 5 months ago I would not do it again!!!,negative,NT
"I work in ED hospital in Australia , have had 2 jabs myself, not one side effect, nor have seen any serious side effect from the thousands of doses administered to others from my hospital.",positive,NT
 I had a friend die 3 hours after receiving Vaccine,negative,NT
"Had the vaccine, almost put me in hospital and still caught covid and ended up on nebulisers so exactly what does it do ",negative,NT
My mother got vaccinated in June Right now she's always has illness that she's complaining about.,negative,NT
You made the right decision to get VACCINATED.I got the Monderna vaccine and not even a sore arm and no side effects,positive,NT
"vaccinated is better than not being vaccinated. The vaccinated are less likely to get infected by the coronavirus, hospitalized or die due to COVID19.",positive,NT
"Just got the first doze of Pfizer after being on the fence about vaccines for the past 2 years. So far, the only side effects I’m experiencing is a sore arm.",positive,NT
The technology along with the subunit-vaccine technology has helped us to eradicate and control many diseases. The vaccines made by this technology (inactivated vaccines and subunit vaccines) have been administered to billions of people safely.,positive,NT
"I am not sure why the most developed countries of the world have chosen to rely on newer non-time-tested technologies of viral-vector vaccine and especially the genetic-vaccine technology, which has never been used previously.",negative,NT
As on date - Covaxin has the GREATEST ADVANTAGE over COVISHIELD,positive,NT
Covaxins Chemicals are almost entirely available for manufacture,positive,NT
"Simply, there is not enough data. For that matter, no single vaccine is proved to be the best.",negative,NT
Both AstraZeneca and Johnson & Johnson vaccines are known to cause blood clots in rare cases,negative,NT
My Mother age 62 got Covaxin. No side effects,positive,NT
"I (age 29) got Covishield. Got all side effects : Fever, headache, nausea, body aches. Lasted 1.5 days",negative,NT
My Brother (age 32) got Covishield: No side-effects,positive,NT
My neighbor (age 20) got Covaxin: Mild side-effects. Lasted 1 day,negative,NT
"Getting the vaccine will greatly diminish the chance that you will get Covid. It will also eliminate the chance that if you get covid-19, it will not be serious enough to put you in the hospital.",positive,NT
"No….many reasons. Its experimental, no liability for manufacturers, it's a vax for basically a flu variant, it's ineffective…..",negative,NT
"Being vaccinated is the ONLY way to stop the virus from spreading, infecting more people which could lead to more illness and death.",positive,NT
because it was proven effective and safe which is good enough for me! I don’t want to stay susceptible to a deadly virus.,positive,NT
"I would recommend getting vaccinated. It protects not only you but also those who are close to you and the people you love. If you don’t want to get it for your own protection, get it for them.",positive,NT
Because I actually care about other people. I am not a selfish prick or a gullible fool who believes every conspiracy or insane lie put out by people to control the masses.,positive,NT
"“Belief” is the wrong verb. The verb you are looking for is “know.” I know that the vaccines being given in the USA (Pfizer, JJ, Moderna) are very safe indeed. And I know the risks of these vaccines are much, much less than the risks of disease.",positive,NT
"Yes, the Covid-19 vaccine is safe and has been safely given to hundreds of millions of people around the world. A small handful of people have had blood clots after being vaccinated, but this is because they have a very rare medical condition, and most were successfully treated. To give you an idea of how rare the chances of blood clots are, you have a greater chance of dying in an aircraft crash or about the same chance of dying from handling fireworks.",positive,NT
"Yes it’s safe. Perfect it is not, however there have been very very few adverse reactions with over 1.3 billion doses given so far, and there have been over three million Covid19 deaths, and most likely the Covid19 deaths have been somewhat underreported. Of course it is safe and it is the only sure way to get the Covid19 pandemic under control!",positive,NT
"“Safe” in this context is not binary. I believe the COVID-19 vaccine will make me, and the people around me, much safer than not being vaccinated makes me and the people around me. That’s what counts.",positive,NT
"The vaccines have gone through the various testing (if i remember correctly six) phases before being administered. At least 400 millions across the world have received the vaccines, if not more. Of course < 1 % have had issues - mild, severe and fatal. No vaccine, developed even decades ago, is 100 % effective and safe.",positive,NT
The technology along with the subunit-vaccine technology has helped us to eradicate and control many diseases. The vaccines made by this technology (inactivated vaccines and subunit vaccines) have been administered to billions of people safely.,positive,NT
"I am not sure why the most developed countries of the world have chosen to rely on newer non-time-tested technologies of viral-vector vaccine and especially the genetic-vaccine technology, which has never been used previously.",negative,NT
The technology along with the subunit-vaccine technology has helped us to eradicate and control many diseases. The vaccines made by this technology (inactivated vaccines and subunit vaccines) have been administered to billions of people safely.,positive,Quora
"I am not sure why the most developed countries of the world have chosen to rely on newer non-time-tested technologies of viral-vector vaccine and especially the genetic-vaccine technology, which has never been used previously.",negative,Quora
As on date - Covaxin has the GREATEST ADVANTAGE over COVISHIELD,positive,Quora
Covaxins Chemicals are almost entirely available for manufacture,positive,Quora
"Simply, there is not enough data. For that matter, no single vaccine is proved to be the best.",negative,Quora
Both AstraZeneca and Johnson & Johnson vaccines are known to cause blood clots in rare cases,negative,Quora
My Mother age 62 got Covaxin. No side effects,positive,Quora
"I (age 29) got Covishield. Got all side effects : Fever, headache, nausea, body aches. Lasted 1.5 days",negative,Quora
My Brother (age 32) got Covishield: No side-effects,positive,Quora
My neighbor (age 20) got Covaxin: Mild side-effects. Lasted 1 day,negative,Quora
My Neighbor’s mother (age 47) got Covishield : no Side effects,positive,Quora
"My colleague (age 35, in US) got Pfizer : 0 side-effects",positive,Quora
Her parents got Pfizer too: Heavy side-effects. Lasted 1/2 day,negative,Quora
"The one in your arm! Get vaccinated as soon as possible. For your own sake, AND for the sake of those who cannot get vaccinated.",positive,Quora
No vaccine has a 100% guarantee,negative,Quora
In terms of efficacy the vaccines developed by Pfizer and Moderna are much higher than their counterparts. ,positive,Quora
No vaccine has 100 % efficacy nor any vaccine has very long effective period,negative,Quora
There are concerns vaccines may not work quite so well against some variants.,negative,Quora
I can’t think of any valid reason as to why I would choose to get the COVID-19 vaccine.,negative,Quora
"Vaccine doesn’t prevent infection, sars-coV-2.",negative,Quora
Because I can read and I used my reading skills to read the fact sheet and the studies that show the “efficacy.” I was not impressed.,negative,Quora
 the vaccine should be proven as highly safe before you take it but the Corona vaccines are not at all in the safe zone.,negative,Quora
Don’t trust the Covid19 vaccines as they are NOT safe. Don’t take any Covid19 vaccine for they ain’t safe.,negative,Quora
Look at the horrible symptoms and consequences of taking a vaccine. A lot of people have died from taking the Corona vaccine. Numbers are a lot higher than what is seen.,negative,Quora
VACCINE CAN NOT GIVE TOTAL PROTECTION AGAINST COVID 19 BUT ARE USED TO INCRAESE IMMUNITY POWER.,positive,Quora
BEACUSE VACCINES ARE GAINING TRUST AND I KNOW THIS VACCINES HAVE VERY SIDEEFFECTS BUT IT DOES NOT MEAN THAT VACCINE IS NOT USABLE.,positive,Quora
 Animal trials with the previous mRNA vaccines all ended with the animals dying from exposure to the ‘wild virus’.,negative,Quora
"Everybody needs to be vaccinated, so we can finally take our masks off, and the rest of us can get back to work",positive,Quora
I would choose to take the vaccine as there is to my mind sufficient evidence to confirm that the virus and the infection that it causes exists.,positive,Quora
"Not all COVID-19 patients need to be hospitalized. But that doesn’t mean you don’t need the vaccine. This is important because the disease can badly damage your vital organs like the heart, lungs, and brain.",positive,Quora
The vaccine helps prevent severe disease and complications .,positive,Quora
"A vaccine is also necessary to protect the people around you. Even if the virus does not make you ill, you could still pass it on to someone around you, who might have to fight a severe battle against the disease",positive,Quora
"Once you are fully vaccinated, you can meet other people too who are vaccinated.",positive,Quora
"If you are vaccinated, you are less likely to pass the infection to others.",positive,Quora
The vaccine creates antibodies and keeps you safeguarded against COVID-19.,positive,Quora
"By getting vaccinated, you are helping in the fight to stop the pandemic.",positive,Quora
I’m aware that the risk to me of using any vaccine is FAR TINIER than the risk to me from the disease if I DON’T get the vaccine,positive,Quora
" I want to protect myself as well as others . I don’t want to transmit it to others , for one thing, and as soon as many people can get vaccinated , there can be be some type of herd immunity which will protect others who cannot vaccinated .",positive,Quora
"Even with the newer variants , these vaccines seem to work right now , and the more people that can get vaccinated quickly , the fewer hosts will exist where the virus mutates to possibly a more contagious form .",positive,Quora
"I consider it a social responsibility to get vaccinated , for the safety of others as well as myself .",positive,Quora
All COVID-19 antibodies right now accessible in the United States have been demonstrated to be protected and compelling at forestalling COVID-19.,positive,Quora
"Because I don’t want to die or potentially cause other people to die from passing on what, thanks to these vaccines, will soon be an entirely preventable illness.",positive,Quora
Because I want to be able to see my friends and family again.,positive,Quora
Because I want to be able to go to concerts and sports events and theatres and restaurants again.,positive,Quora
Because I want to be able to travel again.,positive,Quora
"Because I do not want to die horribly, have to be hospitalized for long periods of time on a ventilator, or have long-term disabling chronic conditions like so many people who had COVID-19.",positive,Quora
By getting vaccinated we reduce the number of us who can carry and spread it. Vaccinations is what eliminated smallpox.,positive,Quora
"The vaccines are safe and effective. So why WOULDN’T I get it? It’s for my health and the health and lives of my family, friends and neighbours.",positive,Quora
"To protect yourself and others, and to help end the pandemic.",positive,Quora
Because I don’t want to die in a hospital bed being on a ventilator.,positive,Quora
I am going to get vaccinated because as a citizens of my country it is my duty to protect my fellow country men from getting sick from covid 19,positive,WHO
"Getting the vaccine will greatly diminish the chance that you will get Covid. It will also eliminate the chance that if you get covid-19, it will not be serious enough to put you in the hospital.",positive,WHO
"No….many reasons. Its experimental, no liability for manufacturers, it's a vax for basically a flu variant, it's ineffective…..",negative,WHO
"Being vaccinated is the ONLY way to stop the virus from spreading, infecting more people which could lead to more illness and death.",positive,WHO
because it was proven effective and safe which is good enough for me! I don’t want to stay susceptible to a deadly virus.,positive,WHO
